sample-id	forward-absolute-filepath	reverse-absolute-filepath	sample_group_id	run	bio_or_control	category_broad	category_specific	bird_id	bird_sex	bird_age	capture_date
PM01_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix077-PM01_S53/Alix077-PM01_S53_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix077-PM01_S53/Alix077-PM01_S53_L001_R2_001.fastq.gz	PM01	Run2	biological	mites	mites	Ja	Male	ASY	4/30/21
PF01_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix078-PF01_S54/Alix078-PF01_S54_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix078-PF01_S54/Alix078-PF01_S54_L001_R2_001.fastq.gz	PF01	Run2	biological	feather	feather	Ja	Male	ASY	4/30/21
PM02_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix079-PM02_S55/Alix079-PM02_S55_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix079-PM02_S55/Alix079-PM02_S55_L001_R2_001.fastq.gz	PM02	Run2	biological	mites	mites	Swamp Roach	Male	ASY	4/30/21
PF02_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix080-PF02_S56/Alix080-PF02_S56_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix080-PF02_S56/Alix080-PF02_S56_L001_R2_001.fastq.gz	PF02	Run2	biological	feather	feather	Swamp Roach	Male	ASY	4/30/21
PM03_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix081-PM03_S57/Alix081-PM03_S57_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix081-PM03_S57/Alix081-PM03_S57_L001_R2_001.fastq.gz	PM03	Run2	biological	mites	mites	Jaren	Male	ASY	4/30/21
PF03_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix082-PF03_S58/Alix082-PF03_S58_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix082-PF03_S58/Alix082-PF03_S58_L001_R2_001.fastq.gz	PF03	Run2	biological	feather	feather	Jaren	Male	ASY	4/30/21
PM04_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix083-PM04_S59/Alix083-PM04_S59_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix083-PM04_S59/Alix083-PM04_S59_L001_R2_001.fastq.gz	PM04	Run2	biological	mites	mites	Club Sandwich	Male	ASY	4/30/21
PF04_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix084-PF04_S60/Alix084-PF04_S60_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix084-PF04_S60/Alix084-PF04_S60_L001_R2_001.fastq.gz	PF04	Run2	biological	feather	feather	Club Sandwich	Male	ASY	4/30/21
PM05_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix085-PM05_S61/Alix085-PM05_S61_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix085-PM05_S61/Alix085-PM05_S61_L001_R2_001.fastq.gz	PM05	Run2	biological	mites	mites	Jonas	Male	ASY	4/30/21
PF05_Run2	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix086-PF05_S62/Alix086-PF05_S62_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix086-PF05_S62/Alix086-PF05_S62_L001_R2_001.fastq.gz	PF05	Run2	biological	feather	feather	Jonas	Male	ASY	4/30/21
