sample-id	forward-absolute-filepath	reverse-absolute-filepath	sample_group_id	run	bio_or_control	category_broad	category_specific	bird_id	bird_sex	bird_age	capture_date
PM01_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix077-PM01_S129/Alix077-PM01_S129_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix077-PM01_S129/Alix077-PM01_S129_L001_R2_001.fastq.gz	PM01	Run1	biological	mites	mites	Ja	Male	ASY	4/30/21
PF01_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix078-PF01_S130/Alix078-PF01_S130_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix078-PF01_S130/Alix078-PF01_S130_L001_R2_001.fastq.gz	PF01	Run1	biological	feather	feather	Ja	Male	ASY	4/30/21
PM02_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix079-PM02_S131/Alix079-PM02_S131_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix079-PM02_S131/Alix079-PM02_S131_L001_R2_001.fastq.gz	PM02	Run1	biological	mites	mites	Swamp Roach	Male	ASY	4/30/21
PF02_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix080-PF02_S132/Alix080-PF02_S132_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix080-PF02_S132/Alix080-PF02_S132_L001_R2_001.fastq.gz	PF02	Run1	biological	feather	feather	Swamp Roach	Male	ASY	4/30/21
PM03_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix081-PM03_S133/Alix081-PM03_S133_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix081-PM03_S133/Alix081-PM03_S133_L001_R2_001.fastq.gz	PM03	Run1	biological	mites	mites	Jaren	Male	ASY	4/30/21
PF03_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix082-PF03_S134/Alix082-PF03_S134_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix082-PF03_S134/Alix082-PF03_S134_L001_R2_001.fastq.gz	PF03	Run1	biological	feather	feather	Jaren	Male	ASY	4/30/21
PM04_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix083-PM04_S135/Alix083-PM04_S135_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix083-PM04_S135/Alix083-PM04_S135_L001_R2_001.fastq.gz	PM04	Run1	biological	mites	mites	Club Sandwich	Male	ASY	4/30/21
PF04_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix084-PF04_S136/Alix084-PF04_S136_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix084-PF04_S136/Alix084-PF04_S136_L001_R2_001.fastq.gz	PF04	Run1	biological	feather	feather	Club Sandwich	Male	ASY	4/30/21
PM05_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix085-PM05_S137/Alix085-PM05_S137_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix085-PM05_S137/Alix085-PM05_S137_L001_R2_001.fastq.gz	PM05	Run1	biological	mites	mites	Jonas	Male	ASY	4/30/21
PF05_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix086-PF05_S138/Alix086-PF05_S138_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix086-PF05_S138/Alix086-PF05_S138_L001_R2_001.fastq.gz	PF05	Run1	biological	feather	feather	Jonas	Male	ASY	4/30/21
PM06_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix087-PM06_S139/Alix087-PM06_S139_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix087-PM06_S139/Alix087-PM06_S139_L001_R2_001.fastq.gz	PM06	Run1	biological	mites	mites	Flatten the Curve	Male	ASY	5/5/21
PF06_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix088-PF06_S140/Alix088-PF06_S140_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix088-PF06_S140/Alix088-PF06_S140_L001_R2_001.fastq.gz	PF06	Run1	biological	feather	feather	Flatten the Curve	Male	ASY	5/5/21
PM07_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix089-PM07_S141/Alix089-PM07_S141_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix089-PM07_S141/Alix089-PM07_S141_L001_R2_001.fastq.gz	PM07	Run1	biological	mites	mites	Loretta	Female	SY	5/5/21
PF07_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix090-PF07_S142/Alix090-PF07_S142_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix090-PF07_S142/Alix090-PF07_S142_L001_R2_001.fastq.gz	PF07	Run1	biological	feather	feather	Loretta	Female	SY	5/5/21
WASH01_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix091-WASH01_S143/Alix091-WASH01_S143_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix091-WASH01_S143/Alix091-WASH01_S143_L001_R2_001.fastq.gz	WASH01	Run1	control	control	wash_control	wash_control	na	na	na
WASH03_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix092-WASH03_S144/Alix092-WASH03_S144_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix092-WASH03_S144/Alix092-WASH03_S144_L001_R2_001.fastq.gz	WASH03	Run1	control	control	wash_control	wash_control	na	na	na
KITA01_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix093-KITA01_S145/Alix093-KITA01_S145_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix093-KITA01_S145/Alix093-KITA01_S145_L001_R2_001.fastq.gz	KITA01	Run1	control	control	kit_control	kit_control	na	na	na
AKC01_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix094-AKC01_S146/Alix094-AKC01_S146_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix094-AKC01_S146/Alix094-AKC01_S146_L001_R2_001.fastq.gz	AKC01	Run1	control	control	area_control	area_control	na	na	na
PM08_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix095-PM08_S147/Alix095-PM08_S147_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix095-PM08_S147/Alix095-PM08_S147_L001_R2_001.fastq.gz	PM08	Run1	biological	mites	mites	Cash	Male	ASY	5/5/21
PF08_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix096-PF08_S148/Alix096-PF08_S148_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix096-PF08_S148/Alix096-PF08_S148_L001_R2_001.fastq.gz	PF08	Run1	biological	feather	feather	Cash	Male	ASY	5/6/21
PF09_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix098-PF09_S150/Alix098-PF09_S150_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix098-PF09_S150/Alix098-PF09_S150_L001_R2_001.fastq.gz	PF09	Run1	biological	feather	feather	Mary Girl	Female	ASY	5/6/21
PM10_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix099-PM10_S151/Alix099-PM10_S151_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix099-PM10_S151/Alix099-PM10_S151_L001_R2_001.fastq.gz	PM10	Run1	biological	mites	mites	Ms. Zip	Female	ASY	5/6/21
PF10_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix100-PF10_S152/Alix100-PF10_S152_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix100-PF10_S152/Alix100-PF10_S152_L001_R2_001.fastq.gz	PF10	Run1	biological	feather	feather	Ms. Zip	Female	ASY	5/6/21
PM11_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix101-PM11_S153/Alix101-PM11_S153_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix101-PM11_S153/Alix101-PM11_S153_L001_R2_001.fastq.gz	PM11	Run1	biological	mites	mites	Dolly	Female	ASY	5/6/21
PF11_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix102-PF11_S154/Alix102-PF11_S154_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix102-PF11_S154/Alix102-PF11_S154_L001_R2_001.fastq.gz	PF11	Run1	biological	feather	feather	Dolly	Female	ASY	5/6/21
PM12_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix103-PM12_S155/Alix103-PM12_S155_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix103-PM12_S155/Alix103-PM12_S155_L001_R2_001.fastq.gz	PM12	Run1	biological	mites	mites	Shania	Female	ASY	5/6/21
PF12_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix104-PF12_S156/Alix104-PF12_S156_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix104-PF12_S156/Alix104-PF12_S156_L001_R2_001.fastq.gz	PF12	Run1	biological	feather	feather	Shania	Female	ASY	5/6/21
PM13_Run1	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix105-PM13_S157/Alix105-PM13_S157_L001_R1_001.fastq.gz	/scrfs/storage/amatthews/20220523_16S/raw_data/Alix105-PM13_S157/Alix105-PM13_S157_L001_R2_001.fastq.gz	PM13	Run1	biological	mites	mites	Patsy	Female	SY	5/6/21
