"index","d__Bacteria;p__Armatimonadota","d__Bacteria;p__Firmicutes","d__Bacteria;p__Proteobacteria","d__Bacteria;p__Planctomycetota","d__Bacteria;p__Actinobacteriota","d__Bacteria;p__Bacteroidota","Unassigned;__","d__Bacteria;p__Patescibacteria","d__Bacteria;p__Bdellovibrionota","d__Bacteria;p__Acidobacteriota","d__Bacteria;p__Gemmatimonadota","d__Bacteria;p__Verrucomicrobiota","d__Bacteria;p__Cyanobacteria","d__Bacteria;__","d__Bacteria;p__Myxococcota","d__Bacteria;p__Desulfobacterota","d__Bacteria;p__Deferribacterota","d__Bacteria;p__Chloroflexi","d__Bacteria;p__Margulisbacteria","d__Bacteria;p__Synergistota","d__Bacteria;p__Campilobacterota","d__Bacteria;p__Dependentiae","d__Bacteria;p__uncultured","d__Bacteria;p__Deinococcota","d__Bacteria;p__Fusobacteriota","d__Bacteria;p__Halanaerobiaeota","d__Bacteria;p__Methylomirabilota","d__Bacteria;p__Nitrospirota","d__Bacteria;p__Abditibacteriota","d__Bacteria;p__Caldatribacteriota","d__Bacteria;p__Latescibacterota","d__Bacteria;p__Rs-K70_termite_group","d__Bacteria;p__Elusimicrobiota","d__Bacteria;p__Thermotogota","d__Bacteria;p__Spirochaetota","d__Bacteria;p__WPS-2","d__Bacteria;p__Cloacimonadota","d__Bacteria;p__Fibrobacterota","d__Bacteria;p__RCP2-54","bio_or_control","category_broad","category_specific","bird_id","bird_sex","bird_age","capture_date","num_mites_fm","num_mites_m","mite_sp_fm","mite_sp_m"
"PM01",0,676,13537,0,78,543,0,0,0,44,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Ja","Male","ASY","4/30/21",54,54,"Amerodectes","Amerodectes"
"PF01",37,1189,7577,79,2076,2170,0,0,0,71,0,18,105,10,74,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Ja","Male","ASY","4/30/21",54,"na","Amerodectes","na"
"PM02",0,0,5015,0,68,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Swamp Roach","Male","ASY","4/30/21",49,49,"Amerodectes","Amerodectes"
"PF02",22,195,8029,27,37711,659,0,46,82,82,27,37,50,31,11,37,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,"biological","feather","feather","Swamp Roach","Male","ASY","4/30/21",49,"na","Amerodectes","na"
"PM03",0,3866,5244,289,27,178,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,"biological","mites","mites","Jaren","Male","ASY","4/30/21",19,19,"Amerodectes","Amerodectes"
"PF03",26,177,11219,12,1941,2210,0,0,283,317,41,51,30,210,76,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Jaren","Male","ASY","4/30/21",19,"na","Amerodectes","na"
"PM04",25,2109,816,0,58,1127,20,0,0,53,0,60,21,57,0,79,0,16,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Club Sandwich","Male","ASY","4/30/21",3,3,"Amerodectes","Amerodectes"
"PF04",0,0,178,0,16,15,0,2,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Club Sandwich","Male","ASY","4/30/21",3,"na","Amerodectes","na"
"PF05",0,0,349,0,90,39,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Jonas","Male","ASY","4/30/21",41,"na","Amerodectes and Proctophyllodes","na"
"PM06",0,4,134,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Flatten the Curve","Male","ASY","5/5/21",31,31,"Amerodectes and Proctophyllodes","Amerodectes and Proctophyllodes"
"PF06",0,430,162,0,83,314,41,0,0,0,0,0,0,317,0,0,22,0,0,0,27,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Flatten the Curve","Male","ASY","5/5/21",31,"na","Amerodectes and Proctophyllodes","na"
"PM07",0,1230,13339,0,132,1150,0,14,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Loretta","Female","SY","5/5/21",15,15,"Amerodectes","Amerodectes"
"PF07",7,311,5215,107,4753,1060,0,23,16,146,93,132,0,2,232,48,0,64,4,0,0,0,0,49,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,"biological","feather","feather","Loretta","Female","SY","5/5/21",15,"na","Amerodectes","na"
