sample-id,bio_or_control,category_broad,category_specific,bird_id,bird_sex,bird_age,capture_date,num_mites_feather,num_mites_total,mite_sp_fm,shannon_500,faith_pd_500,observed_features_500,chao_500,braycurtis_pc1_500,braycurtis_pc2_500,braycurtis_pc3_500,jaccard_pc1_500,jaccard_pc2_500,jaccard_pc3_500,unweightedunifrac_pc1_500,unweightedunifrac_pc2_500,unweightedunifrac_pc3_500,weightedunifrac_pc1_500,weightedunifrac_pc2_500,weightedunifrac_pc3_500,rpca_pc1_500,rpca_pc2_500,rpca_pc3_500,shannon_1451,faith_pd_1451,observed_features_1451,braycurtis_pc1_1451,braycurtis_pc2_1451,braycurtis_pc3_1451,jaccard_pc1_1451,jaccard_pc2_1451,jaccard_pc3_1451,unweightedunifrac_pc1_1451,unweightedunifrac_pc2_1451,unweightedunifrac_pc3_1451,weightedunifrac_pc1_1451,weightedunifrac_pc2_1451,weightedunifrac_pc3_1451
PM01,biological,mites,mites,Ja,Male,ASY,04/30/21,54,510,Amerodectes,2.33498086315209,4.03121110451728,29,29,0.425734557741811,0.002639777783468,-0.030480851312166,0.204112161880738,0.123007413003623,-0.22930946697434,0.248835995515161,-0.170471794232564,-0.007411428604348,0.187968633869807,0.023147384243979,-0.012808641934481,-0.163441128323636,0.007788170054634,-0.008606480186896,2.40405783973735,3.939575819,28,0.414008129,-0.110803455,-0.008000026,0.200891362,0.082909964,0.216937646,0.243136066,-0.168728461,-0.017821329,0.179042163,0.00388772,0.018911336
PF01,biological,feather,feather,Ja,Male,ASY,04/30/21,54,510,Amerodectes,6.16746613402166,11.5680934091685,137,137,-0.013463694999937,-0.088928690375683,0.124409636316884,-0.163920773361459,0.161436169379589,0.003166211806789,-0.232931378383414,-0.130584062024086,0.035957715726709,-0.045598224620294,-0.045631841019948,0.057021943085383,-0.046280935728166,-0.027112280618378,0.095656017358034,6.1147141999875,10.53198123,131,-0.101777069,0.119331986,-0.028241432,-0.162382598,0.170991731,0.050858266,-0.199855423,-0.13848658,0.036228836,-0.06012034,0.024061868,-0.050192914
PM02,biological,mites,mites,Swamp Roach,Male,ASY,04/30/21,49,164,Amerodectes,2.44187057943394,3.93120112933754,21,21,0.260660032773522,0.257806197965983,0.076117516850576,0.188978675868949,0.046021319761894,0.12535776071598,0.184711898898933,0.281488085984592,0.331955274912197,0.152589300754837,0.039110553319517,0.037742932387083,-0.101687591833881,-0.046048764390933,0.011850446671852,2.44605383272966,3.931201129,21,0.383796413,-0.016009424,-0.024150462,0.185729326,0.071734176,-0.076151461,0.180075501,0.283187598,0.332887714,0.157778278,-0.027828585,-0.022155599
PF02,biological,feather,feather,Swamp Roach,Male,ASY,04/30/21,49,164,Amerodectes,2.15753048133758,15.0685445215482,190,190.25,-0.204032660132978,0.029898125104865,0.068144652326236,-0.288492008144497,0.16958186744201,0.012702046356663,-0.348904733918566,-0.112095217564078,0.065703257588171,-0.132684756277458,-0.236481411878799,-0.03383818804283,0.215671194843151,-0.293071737954686,0.235309983878912,2.0498586069747,8.095295719,98,-0.286165716,-0.225061861,0.058211306,-0.231930056,0.156189357,-0.054765913,-0.213949972,-0.162266284,0.148868393,-0.172489131,0.219981475,0.015367354
PM03,biological,mites,mites,Jaren,Male,ASY,04/30/21,19,297,Amerodectes,4.22505084839531,5.42756266211892,34,34,0.139402637407828,0.040363997767491,0.078319750676207,0.134291396974836,0.053288533451841,0.140773435867891,0.142318863072582,-0.099231681179401,-0.051704931541223,0.012743434847706,-0.004487242264982,-0.023012183098937,-0.071164037262458,0.000992234907953,-0.036499290782349,4.21349704566505,4.959061329,33,0.078414475,0.163553857,-0.014678929,0.127037961,0.07211997,-0.129133935,0.125227841,-0.118800219,0.009145984,-0.001208409,0.008543744,0.028081291
PF03,biological,feather,feather,Jaren,Male,ASY,04/30/21,19,297,Amerodectes,6.78692372734069,15.7410559998013,235,235.5,-0.260127855986823,0.03855689689194,0.201322205507758,-0.297291086966235,0.203904274840503,-0.000315351577406,-0.33491021785909,-0.032589654506402,0.011510027042572,-0.088058718135831,-0.075522519332978,0.106229337472554,0.181880798960874,-0.402848622244724,-0.021781266929706,6.66326142108055,13.82359471,194,-0.294832875,-0.24856819,0.059909388,-0.290895594,0.191618778,0.040172948,-0.343328961,-0.019913407,-0.005860014,-0.083999271,0.042847974,-0.093404586
PM04,biological,mites,mites,Club Sandwich,Male,ASY,04/30/21,3,490,Amerodectes,7.63362118308087,20.3182058745942,251,251.5,-0.233714814800895,0.039659525848402,-0.230911688898649,-0.06014420439393,-0.251049825899039,-0.100606345631659,-0.038925403139891,0.231577104185626,-0.142577600617884,-0.086621460939324,-0.037711174891844,-0.205569092474823,-0.006216075872939,-0.044634505401771,-0.133353646688677,7.55944870206899,19.98129638,243,-0.230736016,-0.132007607,0.332988209,-0.068960408,-0.266539047,0.079198504,-0.048651732,0.26069448,-0.120133489,-0.10580926,0.022747753,0.197254546
PF04,biological,feather,feather,Club Sandwich,Male,ASY,04/30/21,3,490,Amerodectes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PM05,biological,mites,mites,Jonas,Male,ASY,04/30/21,41,269,Amerodectes and Proctophyllodes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PF05,biological,feather,feather,Jonas,Male,ASY,04/30/21,41,269,Amerodectes and Proctophyllodes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
