sample-id,bio_or_control,category_broad,category_specific,bird_id,shannon_1451,observed_features_1451,RPCA_pc1_0_16S,RPCA_pc2_0_16S,RPCA_pc1_1451,RPCA_pc2_1451,shannon_995,observed_features_995,RPCA_pc1_0_ITS,RPCA_pc2_0_ITS,RPCA_pc1_995,RPCA_pc2_995
PM01,biological,mites,mites,Ja,2.40405783973735,28,-0.171806493,-0.032736997,-0.145412349,0.033201,4.36286459256805,25,-0.026785625282018,-0.09480974185227,-0.02215275969663,-0.115886494791224
PF01,biological,feather,feather,Ja,6.1147141999875,131,-0.04101696,0.011832066,-0.055591651,-0.017919929,5.14758114619647,80,-0.027606475859785,0.088254240673525,-0.062297683472013,0.025330208711593
PM02,biological,mites,mites,Swamp Roach,2.44605383272966,21,-0.107737418,0.031161246,-0.102651871,-0.020009155,na,na,-0.043177645570945,-0.088196617203872,na,na
PF02,biological,feather,feather,Swamp Roach,2.0498586069747,98,0.176132875,0.259520649,0.148726057,-0.359098544,5.55855858280387,132,-0.030912296874765,0.158681276654208,-0.087410501589975,0.032198041602773
PM03,biological,mites,mites,Jaren,4.21349704566505,33,-0.073584719,-0.015036446,-0.067396955,0.011384495,na,na,-0.04779309167256,-0.101125784456319,na,na
PF03,biological,feather,feather,Jaren,6.66326142108055,194,0.118018362,0.331842059,0.08970297,-0.461597529,na,na,-0.05320776430655,-0.089080405664613,na,na
PM04,biological,mites,mites,Club Sandwich,7.55944870206899,243,-0.016062907,0.037363626,-0.012171148,-0.04050351,na,na,-0.040174934394393,-0.099390462991369,na,na
PF04,biological,feather,feather,Club Sandwich,na,na,0.009581517,0.125604783,na,na,5.46397628926753,118,-0.012270504224668,0.129606671486644,-0.063724756213982,0.044233073763012
PM05,biological,mites,mites,Jonas,na,na,0.009541301,0.016688151,na,na,2.97969908539456,18,-0.079460852003441,-0.08178370495695,-0.06317335052597,-0.115972453527188
PF05,biological,feather,feather,Jonas,na,na,0.045849936,0.114892982,na,na,5.2896465130947,158,0.138204232958556,0.191724437645006,0.037507730096572,0.108150068535474
