"BirdID_simple","d__Bacteria.p__Armatimonadota","d__Bacteria.p__Firmicutes","d__Bacteria.p__Proteobacteria","d__Bacteria.p__Planctomycetota","d__Bacteria.p__Actinobacteriota","d__Bacteria.p__Bacteroidota","Unassigned.__","d__Bacteria.p__Patescibacteria","d__Bacteria.p__Bdellovibrionota","d__Bacteria.p__Acidobacteriota","d__Bacteria.p__Gemmatimonadota","d__Bacteria.p__Verrucomicrobiota","d__Bacteria.p__Cyanobacteria","d__Bacteria.p__Myxococcota","d__Bacteria.p__Desulfobacterota","d__Bacteria.p__Deferribacterota","d__Bacteria.p__Chloroflexi","d__Bacteria.p__Margulisbacteria","d__Bacteria.p__Synergistota","d__Bacteria.p__Campilobacterota","d__Bacteria.p__Dependentiae","d__Bacteria.p__Deinococcota","d__Bacteria.p__Fusobacteriota","d__Bacteria.p__Halanaerobiaeota","d__Bacteria.p__Methylomirabilota","d__Bacteria.p__Nitrospirota","d__Bacteria.p__Abditibacteriota","d__Bacteria.p__Caldatribacteriota","d__Bacteria.p__Latescibacterota","d__Bacteria.p__Rs.K70_termite_group","d__Bacteria.p__Elusimicrobiota","d__Bacteria.p__Thermotogota","d__Bacteria.p__WPS.2","d__Bacteria.p__Cloacimonadota","d__Bacteria.p__Fibrobacterota","d__Bacteria.p__RCP2.54","d__Bacteria.__combo"
"P01",0.002756668156758,0.088585903740128,0.564520935777082,0.005885859037401,0.154671434957532,0.161674862166592,0,0,0,0.005289822679183,0,0.00134108180599,0.007822977201609,0.005513336313515,0,0,0,0,0,0,0,0,0,0,0.001192072716436,0,0,0,0,0,0,0,0,0,0,0,0.000745045447772
"P02",0.000467299645277,0.004141974128592,0.17054312963317,0.000573504110113,0.801015314683829,0.013997748465346,0,0.000977081076488,0.001741753223306,0.001741753223306,0.000573504110113,0.000785913039784,0.001062044648357,0.000233649822639,0.000785913039784,0,0.000233649822639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000467299645277,0,0,0,0,0,0.000658467681981
"P03",0.001563909774436,0.010646616541353,0.674827067669173,0.000721804511278,0.116751879699248,0.132932330827068,0,0,0.017022556390977,0.019067669172932,0.002466165413534,0.003067669172932,0.001804511278195,0.004571428571429,0,0,0,0,0,0,0,0.001924812030075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012631578947368
"P07",0.000568643379366,0.025264012997563,0.423639317627945,0.008692120227457,0.386108854589764,0.086108854589764,0,0.001868399675061,0.001299756295695,0.011860276198213,0.007554833468725,0.01072298943948,0,0.018846466287571,0.003899268887084,0,0.005199025182778,0.000324939073924,0,0,0,0.003980503655565,0,0,0,0,0,0,0.003899268887084,0,0,0,0,0,0,0,0.000162469536962
"P11",0,0.014876201474035,0.815915497741399,0.005909723873247,0.032061950208878,0.03630744149713,0.006181435315695,0.001698196515301,0.037360323336617,0.007268281085487,0.001664232584995,0.009475936555378,0.002241619400197,0,0.000237747512142,0,0.008490982576504,0,0,0,0.000645314675814,0,0,0,0,0,0.00016981965153,0,0,0,0.000475495024284,0,0,0,0,0,0.019019800971368
"P12",0.01081431815724,0.03060452038499,0.516167405645074,0.004650156807613,0.194117010922461,0.144371147399156,0.004433870444468,0.000973288634152,0.035254677192603,0.001405861360441,0.003460581810317,0.004542013626041,0.007461879528496,0.024115929490646,0,0,0.002919865902455,0,0,0,0,0.000648859089434,0,0.006921163620634,0,0,0,0,0,0,0,0,0,0,0,0,0.007137449983779
"P13",0.003412969283276,0,0.761092150170648,0,0.011945392491468,0.215017064846416,0,0,0,0,0,0.003412969283276,0,0.005119453924915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16",0.006599752509281,0.041729685136807,0.443008387185481,0.018355561666438,0.318369311150832,0.048673174755947,0,0.004537329850131,0.014024474082222,0.013818231816307,0,0.011618314313213,0,0.006531005087309,0,0,0.020830468857418,0,0,0,0.000206242265915,0.000549979375773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051148081946927
"P17",0.001177988444494,0.016828406349919,0.516632074942503,0.006058226285971,0.047568295282437,0.337577831379368,0,0,0.001177988444494,0.014865092275762,0.003029113142985,0.015313849778426,0.000897515005329,0.011948168508442,0.004151006899647,0,0.008414203174959,0,0,0,0.001963314074157,0,0,0,0.001177988444494,0,0.001346272507993,0,0,0,0,0,0.001795030010658,0,0,0.001402367195827,0.006675267852134
"P18",0,0.02000666888963,0.732910970323441,0.001000333444481,0.035011670556852,0.083694564854952,0,0,0,0.001333777925975,0,0.085361787262421,0.01567189063021,0.009669889963321,0,0,0.006335445148383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009003001000333
"P21",0,0.037221269296741,0.610634648370497,0.016552315608919,0.181046312178388,0.09073756432247,0,0.001543739279588,0.006432246998285,0.015094339622642,0,0.002229845626072,0,0.003087478559177,0,0,0.01663807890223,0,0,0,0,0.013121783876501,0,0,0,0,0,0,0,0,0,0,0,0,0.001629502572899,0,0.004030874785592
"P22",0,0.101174260216064,0.638703616721465,0.006387975575388,0.119774542038516,0.081164866134335,0,0.010051667449507,0,0.007139502113668,0,0.007609206200094,0,0,0,0,0,0,0,0,0,0.007891028651949,0,0,0,0,0,0,0,0.00018788163457,0,0,0,0,0,0,0.019915453264443
