"SampleID","BirdID_simple","d__Bacteria.p__Armatimonadota","d__Bacteria.p__Firmicutes","d__Bacteria.p__Proteobacteria","d__Bacteria.p__Planctomycetota","d__Bacteria.p__Actinobacteriota","d__Bacteria.p__Bacteroidota","Unassigned.__","d__Bacteria.p__Patescibacteria","d__Bacteria.p__Bdellovibrionota","d__Bacteria.p__Acidobacteriota","d__Bacteria.p__Gemmatimonadota","d__Bacteria.p__Verrucomicrobiota","d__Bacteria.p__Cyanobacteria","d__Bacteria.p__Myxococcota","d__Bacteria.p__Desulfobacterota","d__Bacteria.p__Deferribacterota","d__Bacteria.p__Chloroflexi","d__Bacteria.p__Margulisbacteria","d__Bacteria.p__Synergistota","d__Bacteria.p__Campilobacterota","d__Bacteria.p__Dependentiae","d__Bacteria.p__Deinococcota","d__Bacteria.p__Fusobacteriota","d__Bacteria.p__Halanaerobiaeota","d__Bacteria.p__Methylomirabilota","d__Bacteria.p__Nitrospirota","d__Bacteria.p__Abditibacteriota","d__Bacteria.p__Caldatribacteriota","d__Bacteria.p__Latescibacterota","d__Bacteria.p__Rs.K70_termite_group","d__Bacteria.p__Elusimicrobiota","d__Bacteria.p__Thermotogota","d__Bacteria.p__WPS.2","d__Bacteria.p__Cloacimonadota","d__Bacteria.p__Fibrobacterota","d__Bacteria.p__RCP2.54","d__Bacteria.__combo"
"PM01","P01",0,0.044526412857331,0.891648004215518,0,0.005137663022,0.035766038730075,0,0,0,0.002898168884205,0,0,0,0,0,0,0.020023712290871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM02","P02",0,0,0.979683531939832,0,0.013283844500879,0,0.007032623559289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM03","P03",0,0.397287020861165,0.538896310759429,0.029698900421334,0.002774637755626,0.01829205631487,0,0.000616586167917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012434487719659,0,0,0,0,0,0
"PM07","P07",0,0.077494959677419,0.840410786290323,0,0.008316532258065,0.072454637096774,0,0.000882056451613,0,0,0.000441028225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM11","P11",0,0.01984930274404,0.932411156095367,0,0.010177687809267,0.030308142150247,0,0,0,0,0,0,0,0,0,0,0.006578947368421,0,0,0,0,0.000674763832659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM12","P12",0,0.004657390696862,0.652267567095535,0,0.054142166851022,0.148105024160214,0,0.004191651627176,0.010595563835361,0.007044303429004,0,0.040461081678989,0,0,0,0,0,0,0,0.037200908191186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041334342434651
"PM13","P13",0,0.056150414276609,0.717399617590822,0.00057361376673,0.002358189929892,0.1861695347355,0.000828553218611,0.004907584448693,0,0,0,0,0.001975780752071,0,0,0,0.011153601019758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018483110261313,0,0,0,0,0
"PM16","P16",0,0.003369310718977,0.94786134429787,0,0.012963280223859,0.002284278453543,0.003083775912284,0.001884529724173,0,0,0,0.021529324424647,0,0,0,0,0.007024156244646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM17","P17",0,0.061787578566102,0.531852562053904,0.141845104932353,0.071907957813998,0.192606796633642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM18","P18",0,0.018193493150685,0.882562785388128,0,0.019691780821918,0.069135273972603,0,0.005636415525114,0,0,0,0.004780251141553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM21","P21",0,0.152355331064017,0.6239156692654,0.000988250796091,0.030141649280773,0.088119029318107,0.008235423300758,0.007521686614692,0,0.003788294718349,0,0,0.000658833864061,0,0.018776765125728,0,0.002690238278248,0,0.016745360711541,0.015098276051389,0,0,0.030965191610849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM22","P22",0,0.091143298792008,0.669147535352379,0.002576286712086,0.006583843819774,0.040533577603481,0,0.01345394171867,0,0.061143871300166,0.002061029369669,0,0,0,0.025991870384153,0,0.046773916528311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040590828419305
"PM23","P23",0,0.323261589403974,0.535761589403974,0,0.024172185430464,0.066887417218543,0,0,0.013327814569536,0,0,0.017218543046358,0,0,0,0,0,0,0.012748344370861,0,0,0,0.006622516556291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM26","P26",0,0.090641247833622,0.821952628538417,0.005719237435009,0.016060080878105,0.056036972848065,0,0.001444251877527,0,0,0,0,0,0,0,0,0,0,0,0.008145580589255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM27","P27",0,0.016478716645489,0.944329733163914,0,0.004685514612452,0.025849745870394,0,0.00079415501906,0,0,0,0,0.003811944091487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004050190597205
"PM30","P30",0,0.333887043189369,0.518272425249169,0,0.036544850498339,0.088039867109635,0,0,0,0.023255813953488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
