"SampleID","d__Bacteria.p__Armatimonadota","d__Bacteria.p__Firmicutes","d__Bacteria.p__Proteobacteria","d__Bacteria.p__Planctomycetota","d__Bacteria.p__Actinobacteriota","d__Bacteria.p__Bacteroidota","Unassigned.__","d__Bacteria.p__Patescibacteria","d__Bacteria.p__Bdellovibrionota","d__Bacteria.p__Acidobacteriota","d__Bacteria.p__Gemmatimonadota","d__Bacteria.p__Verrucomicrobiota","d__Bacteria.p__Cyanobacteria","d__Bacteria.p__Myxococcota","d__Bacteria.p__Desulfobacterota","d__Bacteria.p__Deferribacterota","d__Bacteria.p__Chloroflexi","d__Bacteria.p__Margulisbacteria","d__Bacteria.p__Synergistota","d__Bacteria.p__Campilobacterota","d__Bacteria.p__Dependentiae","d__Bacteria.p__Deinococcota","d__Bacteria.p__Fusobacteriota","d__Bacteria.p__Halanaerobiaeota","d__Bacteria.p__Methylomirabilota","d__Bacteria.p__Nitrospirota","d__Bacteria.p__Abditibacteriota","d__Bacteria.p__Caldatribacteriota","d__Bacteria.p__Latescibacterota","d__Bacteria.p__Rs.K70_termite_group","d__Bacteria.p__Elusimicrobiota","d__Bacteria.p__Thermotogota","d__Bacteria.p__WPS.2","d__Bacteria.p__Cloacimonadota","d__Bacteria.p__Fibrobacterota","d__Bacteria.p__RCP2.54","d__Bacteria.__combo"
"PM01",0,0.044526412857331,0.891648004215518,0,0.00513766302199974,0.0357660387300751,0,0,0,0.00289816888420498,0,0,0,0,0,0,0.0200237122908708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF01",0.00275666815675756,0.0885859037401281,0.564520935777082,0.00588585903740128,0.154671434957532,0.161674862166592,0,0,0,0.00528982267918343,0,0.00134108180599017,0.0078229772016093,0.00551333631351512,0,0,0,0,0,0,0,0,0,0,0.0011920727164357,0,0,0,0,0,0,0,0,0,0,0,0.000745045447772314
"PM02",0,0,0.979683531939832,0,0.0132838445008791,0,0.00703262355928892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF02",0.000467299645277087,0.00414197412859237,0.17054312963317,0.000573504110112789,0.801015314683829,0.0139977484653455,0,0.000977081076488456,0.00174175322330551,0.00174175322330551,0.000573504110112789,0.000785913039784192,0.00106204464835702,0.000233649822638544,0.000785913039784192,0,0.000233649822638544,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000467299645277087,0,0,0,0,0,0.00065846768198135
"PM03",0,0.397287020861165,0.538896310759429,0.0296989004213339,0.00277463775562635,0.01829205631487,0,0.000616586167916966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124344877196588,0,0,0,0,0,0
"PF03",0.00156390977443609,0.0106466165413534,0.674827067669173,0.000721804511278195,0.116751879699248,0.132932330827068,0,0,0.0170225563909774,0.0190676691729323,0.00246616541353383,0.00306766917293233,0.00180451127819549,0.00457142857142857,0,0,0,0,0,0,0,0.00192481203007519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126315789473684
"PM04",0.00559785042543663,0.472234661889834,0.182713837886252,0,0.012987012987013,0.252351097178683,0.00447828034034931,0,0,0.0118674429019257,0,0.0134348410210479,0.00470219435736677,0,0.0176892073443798,0,0.00358262427227944,0,0,0.00559785042543663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127630989699955
"PF06",0,0.296347346657478,0.111647139903515,0,0.0572019297036527,0.216402481047553,0.0282563749138525,0,0,0,0,0,0,0,0,0.0151619572708477,0,0,0,0.0186078566505858,0,0,0.0379048931771192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218470020675396
"PM07",0,0.0774949596774194,0.840410786290323,0,0.00831653225806452,0.0724546370967742,0,0.000882056451612903,0,0,0.000441028225806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF07",0.000568643379366369,0.025264012997563,0.423639317627945,0.00869212022745735,0.386108854589764,0.0861088545897644,0,0.00186839967506093,0.00129975629569456,0.0118602761982128,0.00755483346872461,0.0107229894394801,0,0.0188464662875711,0.00389926888708367,0,0.00519902518277823,0.000324939073923639,0,0,0,0.00398050365556458,0,0,0,0,0,0,0.00389926888708367,0,0,0,0,0,0,0,0.00016246953696182
