sample-id	absolute-filepath	bio_or_control	category_broad	category_specific	bird_id	bird_sex	bird_age	capture_date	num_mites_fm	num_mites_m	mite_sp_fm	mite_sp_m
PM01	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix001-PM01_S24/Alix001-PM01_S24_L001_R1_001.fastq.gz	biological	mites	mites	Ja	Male	ASY	04/30/21	54	54	Amerodectes	Amerodectes
PF01	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix002-PF01_S25/Alix002-PF01_S25_L001_R1_001.fastq.gz	biological	feather	feather	Ja	Male	ASY	04/30/21	54	na	Amerodectes	na
PM02	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix003-PM02_S26/Alix003-PM02_S26_L001_R1_001.fastq.gz	biological	mites	mites	Swamp Roach	Male	ASY	04/30/21	49	49	Amerodectes	Amerodectes
PF02	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix004-PF02_S27/Alix004-PF02_S27_L001_R1_001.fastq.gz	biological	feather	feather	Swamp Roach	Male	ASY	04/30/21	49	na	Amerodectes	na
PM03	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix005-PM03_S28/Alix005-PM03_S28_L001_R1_001.fastq.gz	biological	mites	mites	Jaren	Male	ASY	04/30/21	19	19	Amerodectes	Amerodectes
PF03	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix006-PF03_S29/Alix006-PF03_S29_L001_R1_001.fastq.gz	biological	feather	feather	Jaren	Male	ASY	04/30/21	19	na	Amerodectes	na
PM04	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix007-PM04_S30/Alix007-PM04_S30_L001_R1_001.fastq.gz	biological	mites	mites	Club Sandwich	Male	ASY	04/30/21	3	3	Amerodectes	Amerodectes
PF04	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix008-PF04_S31/Alix008-PF04_S31_L001_R1_001.fastq.gz	biological	feather	feather	Club Sandwich	Male	ASY	04/30/21	3	na	Amerodectes	na
PM05	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix009-PM05_S32/Alix009-PM05_S32_L001_R1_001.fastq.gz	biological	mites	mites	Jonas	Male	ASY	04/30/21	41	41	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF05	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix010-PF05_S33/Alix010-PF05_S33_L001_R1_001.fastq.gz	biological	feather	feather	Jonas	Male	ASY	04/30/21	41	na	Amerodectes and Proctophyllodes	na
PM06	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix011-PM06_S34/Alix011-PM06_S34_L001_R1_001.fastq.gz	biological	mites	mites	Flatten the Curve	Male	ASY	05/05/21	31	31	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF06	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix012-PF06_S35/Alix012-PF06_S35_L001_R1_001.fastq.gz	biological	feather	feather	Flatten the Curve	Male	ASY	05/05/21	31	na	Amerodectes and Proctophyllodes	na
