"BirdID_simple","k__Fungi.p__Basidiomycota","k__Fungi.p__Ascomycota","k__Fungi.p__Mortierellomycota","k__Fungi.p__Rozellomycota","k__Fungi.p__Mucoromycota","k__Fungi.p__Blastocladiomycota","k__Fungi.p__Chytridiomycota","k__Fungi.__combo"
"P01",0.152323976069949,0.749194661757938,0,0,0,0,0,0.098481362172112
"P02",0.043557536466775,0.901539708265802,0,0,0,0,0,0.054902755267423
"P05",0.063704863489578,0.858303160778941,0.000587141598982,0,0,0,0,0.077404834132498
"P07",0.062536023054755,0.83371757925072,0,0,0,0,0,0.103746397694524
"P11",0.044645229869785,0.882274780760032,0,0,0,0,0,0.073079989370183
"P12",0.073652990608008,0.867523479980227,0,0,0,0,0,0.058823529411765
"P14",0.026579352850539,0.940292758089368,0,0,0,0,0,0.033127889060093
"P16",0.026718228159606,0.944629987695553,0,0,0,0,0,0.028651784144841
"P17",0.38695634967747,0.580671969607028,0.000593612727057,0,0,0,0,0.031778067988444
"P18",0.072646404744255,0.824314306893996,0,0,0,0,0,0.103039288361749
"P19",0.027381459260693,0.935405457712406,0,5.42E-05,0.000255467389201,0,0,0.036903425585446
"P20",0.031668260038241,0.904367829827916,0.000248964308477,0,0,0,0,0.063714945825367
"P21",0.024505588993981,0.930997420464316,0,0,0,0,0,0.044496990541703
"P22",0.037358676060954,0.764705882352941,0,0,0,0,0,0.197935441586105
"P23",0.051206592113008,0.892289582107122,0,0,0,0,0,0.056503825779871
"P24",0.013376176954118,0.910700941563294,0,0,0,0,0,0.075922881482589
"P26",0.029104229104229,0.885914085914086,0,0,0,0,0.000732600732601,0.084249084249084
"P27",0.01329678977504,0.946025888035603,0,0,0,0,0,0.040677322189357
"P28",0.025163563160544,0.875524240899178,0,0,0,0,0,0.099312195940279
"P29",0.01459503288387,0.901138172317487,0,9.01E-05,0,0,0,0.084176702003063
