"SampleID","BirdID_simple","k__Fungi.p__Basidiomycota","k__Fungi.p__Ascomycota","k__Fungi.p__Mortierellomycota","k__Fungi.p__Rozellomycota","k__Fungi.p__Mucoromycota","k__Fungi.p__Blastocladiomycota","k__Fungi.p__Chytridiomycota","k__Fungi.__combo"
"PM01","P01",0.355778894472362,0.628140703517588,0,0,0,0,0,0.01608040201005
"PM02","P02",0.259259259259259,0.740740740740741,0,0,0,0,0,0
"PM05","P05",0.126693227091633,0.772111553784861,0,0,0,0,0,0.101195219123506
"PM07","P07",0.626598465473146,0.373401534526854,0,0,0,0,0,0
"PM11","P11",0.219146482122261,0.592848904267589,0,0,0,0,0,0.18800461361015
"PM12","P12",0.246598639455782,0.753401360544218,0,0,0,0,0,0
"PM14","P14",0.115421002838221,0.814569536423841,0,0,0,0,0,0.070009460737938
"PM16","P16",0.170027247956403,0.815803814713896,0.0141689373297,0,0,0,0,0
"PM17","P17",0.030600680015111,0.896108802417832,0,0,0,0,0,0.073290517567057
"PM18","P18",0.284440842787682,0.673419773095624,0,0,0,0,0,0.042139384116694
"PM19","P19",0.156213017751479,0.843786982248521,0,0,0,0,0,0
"PM20","P20",0.159126365054602,0.807332293291732,0,0,0,0,0,0.033541341653666
"PM21","P21",0.062977099236641,0.937022900763359,0,0,0,0,0,0
"PM22","P22",0.279693486590038,0.720306513409962,0,0,0,0,0,0
"PM23","P23",0.255627009646302,0.744372990353698,0,0,0,0,0,0
"PM24","P24",0.310509554140127,0.511146496815287,0,0,0,0.127388535031847,0,0.050955414012739
"PM26","P26",0.1578073089701,0.663621262458472,0,0,0,0,0,0.178571428571429
"PM27","P27",0.012450690335306,0.682445759368836,0,0,0,0,0,0.305103550295858
"PM28","P28",0.236447520184544,0.277970011534025,0,0,0,0,0,0.48558246828143
"PM29","P29",0.129675810473815,0.842892768079801,0,0,0,0,0,0.027431421446384
