,"ASV","mean.vs","sd.vs","n.vs","se.vs","lower.ci.vs","upper.ci.vs","electivity_category"
"1","k__Fungi.p__Ascomycota.c__Archaeorhizomycetes.o__Archaeorhizomycetales.f__Archaeorhizomycetaceae.g__Archaeorhizomyces",-1,"NA",20,"NA","NA","NA","against"
"2","k__Fungi.p__Ascomycota.c__Arthoniomycetes.o__Lichenostigmatales.f__Phaeococcomycetaceae.g__Phaeococcomyces",-1,"NA",20,"NA","NA","NA","against"
"3","k__Fungi.p__Ascomycota.c__Ascomycota_cls_Incertae_sedis.o__Ascomycota_ord_Incertae_sedis.f__Ascomycota_fam_Incertae_sedis.g__Hormodochis",-1,0,20,0,-1,-1,"against"
"4","k__Fungi.p__Ascomycota.c__Candelariomycetes.o__Candelariales.f__Candelariaceae.g__Candelaria",-1,"NA",20,"NA","NA","NA","against"
"5","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Acrospermales.f__Acrospermaceae.g__Acrospermum",-1,"NA",20,"NA","NA","NA","against"
"6","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Botryosphaeriaceae.g__Botryosphaeria",-0.804202156505011,0.619167146393347,20,0.138449982877009,-1.09398130099901,-0.514423012011013,"against"
"7","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Botryosphaeriaceae.g__Diplodia",-1,0,20,0,-1,-1,"against"
"8","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Botryosphaeriaceae.g__Dothiorella",0.981523870314347,"NA",20,"NA","NA","NA","for"
"9","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Botryosphaeriaceae.g__Lasiodiplodia",-1,"NA",20,"NA","NA","NA","against"
"10","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Botryosphaeriaceae.g__Neofusicoccum",-1,0,20,0,-1,-1,"against"
"11","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Botryosphaeriaceae.g__Sardiniella",-1,"NA",20,"NA","NA","NA","against"
"12","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Melanopsaceae.g__Melanops",-1,"NA",20,"NA","NA","NA","against"
"13","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Botryosphaeriales.f__Phyllostictaceae.g__Phyllosticta",-1,"NA",20,"NA","NA","NA","against"
"14","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Capnodiaceae.g__Capnodium",-1,0,20,0,-1,-1,"against"
