"sample.id","bio_or_control","category_broad","category_specific","bird_id","bird_sex","bird_age","capture_date","num_mites_feather","num_mites_total","mite_sp_fm","shannon_500","observed_features_500","chao_500","braycurtis_pc1_500","braycurtis_pc2_500","braycurtis_pc3_500","jaccard_pc1_500","jaccard_pc2_500","jaccard_pc3_500","rpca_pc1_500","rpca_pc2_500","rpca_pc3_500","shannon_995","faith_pd_995","observed_features_995","braycurtis_pc1_995","braycurtis_pc2_995","braycurtis_pc3_995","jaccard_pc1_995","jaccard_pc2_995","jaccard_pc3_995"
"PM01","biological","mites","mites","Ja","Male","ASY","04/30/21",54,510,"Amerodectes",4.36286459256805,25,25,-0.232891733467487,0.031887543363003,-0.012372750012409,0.14672336542103,0.016131849724789,0.213817355085855,-0.03573676354152,0.12883389249999,0.06378816438031,4.36286459256805,10.2390131674526,25,0.391778542347286,0.04037827919139,-0.152026426767378,0.206038856320953,0.133416231451339,-0.22877843785723
"PF01","biological","feather","feather","Ja","Male","ASY","04/30/21",54,510,"Amerodectes",5.19929405045175,85,85,0.094425128396885,-0.314394511234817,0.058768294064868,-0.130328888333277,0.102115369496828,0.121902246324272,-0.043663072550095,-0.05609560126403,0.025355766549376,5.14758114619647,32.1265973663675,80,-0.154391132773208,0.070259081512028,0.007826181145027,-0.065545658857325,0.194024056887599,0.14975589425042
"PM02","biological","mites","mites","Swamp Roach","Male","ASY","04/30/21",49,164,"Amerodectes",3.24191404906288,11,11,-0.229215798877859,0.052675778744491,-0.030703311732773,0.149598345138,-0.074462884213644,0.064079003384343,-0.048792798488702,0.126343243652393,0.063838529101172,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PF02","biological","feather","feather","Swamp Roach","Male","ASY","04/30/21",49,164,"Amerodectes",5.6249373247877,161,161,0.30352797351893,-0.152986825532992,-0.053911096882516,-0.114896833952905,0.016273340358152,0.032325513052377,-0.051557825194874,-0.130673536398249,-0.07423565576651,5.55855858280387,43.854418268686,132,-0.21934921220168,-0.083022176736914,-0.056282878403695,-0.091146490125726,0.113583472951271,0.061154968924832
"PF04","biological","feather","feather","Club Sandwich","Male","ASY","04/30/21",3,490,"Amerodectes",5.57411976469547,139,139,0.222598865732171,-0.249806095148357,0.013404900719663,-0.149242448244257,0.051628975112588,0.104598559806786,-0.034167134348969,-0.106197001267309,-0.021098315163661,5.46397628926753,39.0318538239021,118,-0.196951369383566,0.043095581594458,0.013650851257609,-0.112602425760927,0.111641322429031,-0.001700124252536
"PM05","biological","mites","mites","Jonas","Male","ASY","04/30/21",41,269,"Amerodectes and Proctophyllodes",2.90936650763398,18,18,-0.250023074941903,0.057360452296874,-0.04500335670969,0.199430966882542,-0.10561159834569,-0.191311827816041,-0.076423359464358,0.125359090120722,0.0719455971907,2.97969908539456,11.749979044604,18,0.408945876589186,0.036795931902468,-0.180710587651704,0.2545538591787,-0.139665324037782,-0.087062810362832
"PF05","biological","feather","feather","Jonas","Male","ASY","04/30/21",41,269,"Amerodectes and Proctophyllodes",5.49695827636055,242,242,0.376459476860587,0.146408390987232,-0.02476535565706,-0.218121667573292,-0.037913052421639,0.01874285852478,0.084256258857888,-0.187969705769346,-0.070398918902863,5.2896465130947,45.7061160895687,158,-0.271009402615902,0.009026129297071,0.025281096300984,-0.171553769348293,0.061323303919951,0.052467471705098
"PF06","biological","feather","feather","Flatten the Curve","Male","ASY","05/05/21",31,51,"Amerodectes and Proctophyllodes",5.40632984529529,97,97,-0.196149033163526,0.008219630484379,-0.133420067109614,-0.024643917026824,-0.012886712118977,0.066986497525192,-0.038202861189701,0.054725336427024,0.020998076832013,5.4154379600567,32.3116034782401,97,0.300490424849936,-0.101078047411718,-0.114593099357715,0.018841590788393,0.13536722504784,-0.112681361155944
"PM07","biological","mites","mites","Loretta","Female","SY","05/05/21",15,204,"Amerodectes",3.61740777202449,15,15,-0.2437284444108,0.054283978887717,-0.072568134386091,0.171171034752628,-0.116401361768383,0.092372289628667,-0.051259096634572,0.135242819147675,0.067155617621706,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PF07","biological","feather","feather","Loretta","Female","SY","05/05/21",15,204,"Amerodectes",6.23230064621226,157,157,0.120929087056965,-0.225409282148405,-0.023663285479965,-0.194316774944269,-0.009665112786882,0.013458448972317,0.02142880065215,-0.021739905383877,-0.036020880341187,6.12838325714114,48.5904503478121,138,-0.053091771130424,-0.088938443197305,0.094453518901315,-0.134179076155635,0.025363996266909,0.046708177925765
"PF08","biological","feather","feather","Cash","Male","ASY","05/06/21",43,210,"Amerodectes and Proctophyllodes",4.56281581591205,86,86,-0.212335030444198,0.028093497876998,-0.105481947822651,-0.010708920818015,0.003681568659963,0.007756924497935,0.036000763648592,0.12498640922847,0.038419942857502,4.59764214176318,35.7607866477562,86,0.390606511522138,-0.149680334657056,0.179081451619474,0.036856685869797,-0.063423311767096,-0.090309414233952
"PF09","biological","feather","feather","Mary Girl","Female","ASY","05/06/21",8,17,"Amerodectes",4.43837168562867,98,98,0.344950935613534,-0.180471566751278,-0.048590832917352,-0.102243843786529,0.106176119919658,0.104202294346429,-0.086648527286531,-0.12591394700081,-0.085706738827991,4.45719311255263,26.1797891982407,83,-0.254113591966608,0.030053310153778,-0.125958964839174,-0.070533019275911,0.202349979433015,0.133489971082126
"PM10","biological","mites","mites","Ms. Zip","Female","ASY","05/06/21",116,378,"Amerodectes",3.44537561595839,13,13,-0.242443174815465,0.054377071887883,-0.057993386953723,0.179893670123277,-0.128307842083441,-0.164186310077057,-0.043422237396782,0.145596190490551,0.068540378766123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PM11","biological","mites","mites","Dolly","Female","ASY","05/06/21",93,263,"Amerodectes",3.96941375410954,21,21,-0.258243670158739,0.064226194389801,-0.050297255043231,0.196771260746359,-0.162216538315512,-0.080834113091569,-0.050567220301574,0.133992020321607,0.070088394788138,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PF11","biological","feather","feather","Dolly","Female","ASY","05/06/21",93,263,"Amerodectes",5.27966580140276,109,109,0.111892594534879,-0.146998190852029,-0.172486930077161,-0.077282781419343,0.082222850972529,0.039985547908797,-0.07298955728798,-0.05999551752914,-0.023170355974711,5.11207629486686,32.9138610678771,93,-0.021430361203883,-0.154563884004599,-0.145921978977981,-0.041066729649392,0.082347627160521,0.012046052911439
"PM12","biological","mites","mites","Shania","Female","ASY","05/06/21",41,318,"Amerodectes",2.5174339124884,9,9,-0.231390993218268,0.050575527100603,-0.032656157248604,0.167509054117697,0.014503949057732,0.23385717248272,-0.107911231397199,0.205329011749597,0.108007422600622,NA,NA,NA,NA,NA,NA,NA,NA,NA
